Altium Designer Pick and Place Locations
C:\Users\pisto\OneDrive - The University of Texas at Austin\00 - UT Austin\Orgs\Momentum\Altium\8-Solenoid-PCB\Project Outputs for 8-Solenoid-Board\Pick Place for 8-Solenoid-PCB.csv

========================================================================================================================
File Design Information:

Date:       02/03/24
Time:       23:36
Revision:   a43cab54461ee75330739030e8f35901ae960f5d
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J23","282836-2","TopLayer","TECO-282836-2_V","101.8543","5.2500","0","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J20","282836-2","TopLayer","TECO-282836-2_V","10.3358","102.7500","270","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J16","282836-2","TopLayer","TECO-282836-2_V","16.2500","116.7500","180","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J11","282836-2","TopLayer","TECO-282836-2_V","10.3358","20.7500","270","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J4","282836-2","TopLayer","TECO-282836-2_V","16.2500","5.2500","0","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J19","282836-2","TopLayer","TECO-282836-2_V","10.3358","91.6458","270","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J15","282836-2","TopLayer","TECO-282836-2_V","54.2500","116.7500","180","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J10","282836-2","TopLayer","TECO-282836-2_V","10.3358","31.7500","270","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J3","282836-2","TopLayer","TECO-282836-2_V","53.2500","5.2500","0","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J45","282836-2","TopLayer","TECO-282836-2_V","151.2500","69.7500","90","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J37","282836-2","TopLayer","TECO-282836-2_V","27.3543","116.7500","180","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J33","282836-2","TopLayer","TECO-282836-2_V","151.2500","55.0628","90","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J25","282836-2","TopLayer","TECO-282836-2_V","27.3543","5.2500","0","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J44","282836-2","TopLayer","TECO-282836-2_V","38.4585","116.7500","180","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J32","282836-2","TopLayer","TECO-282836-2_V","38.4585","5.2500","0","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J18","282836-2","TopLayer","TECO-282836-2_V","10.3358","80.2500","270","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J14","282836-2","TopLayer","TECO-282836-2_V","90.7500","116.7500","180","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J9","282836-2","TopLayer","TECO-282836-2_V","10.3358","42.8543","270","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J2","282836-2","TopLayer","TECO-282836-2_V","90.7500","5.2500","0","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
"J43","282836-2","TopLayer","TECO-282836-2_V","151.2500","80.7500","90","Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
