Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
J23,282836-2,Top,TECO-282836-2_V,101.8543,5.25,0,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J20,282836-2,Top,TECO-282836-2_V,10.3358,102.75,270,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J16,282836-2,Top,TECO-282836-2_V,16.25,116.75,180,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J11,282836-2,Top,TECO-282836-2_V,10.3358,20.75,270,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J4,282836-2,Top,TECO-282836-2_V,16.25,5.25,0,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J19,282836-2,Top,TECO-282836-2_V,10.3358,91.6458,270,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J15,282836-2,Top,TECO-282836-2_V,54.25,116.75,180,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J10,282836-2,Top,TECO-282836-2_V,10.3358,31.75,270,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J3,282836-2,Top,TECO-282836-2_V,53.25,5.25,0,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J45,282836-2,Top,TECO-282836-2_V,151.25,69.75,90,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J37,282836-2,Top,TECO-282836-2_V,27.3543,116.75,180,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J33,282836-2,Top,TECO-282836-2_V,151.25,55.0628,90,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J25,282836-2,Top,TECO-282836-2_V,27.3543,5.25,0,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J44,282836-2,Top,TECO-282836-2_V,38.4585,116.75,180,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J32,282836-2,Top,TECO-282836-2_V,38.4585,5.25,0,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J18,282836-2,Top,TECO-282836-2_V,10.3358,80.25,270,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J14,282836-2,Top,TECO-282836-2_V,90.75,116.75,180,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J9,282836-2,Top,TECO-282836-2_V,10.3358,42.8543,270,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J2,282836-2,Top,TECO-282836-2_V,90.75,5.25,0,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J43,282836-2,Top,TECO-282836-2_V,151.25,80.75,90,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J36,282836-2,Top,TECO-282836-2_V,65.3542,116.75,180,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J31,282836-2,Top,TECO-282836-2_V,151.25,43.9585,90,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J24,282836-2,Top,TECO-282836-2_V,64.3543,5.25,0,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J42,282836-2,Top,TECO-282836-2_V,76.4585,116.75,180,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J30,282836-2,Top,TECO-282836-2_V,75.4585,5.25,0,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J17,282836-2,Top,TECO-282836-2_V,10.3358,68.75,270,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J13,282836-2,Top,TECO-282836-2_V,127.25,116.75,180,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
J8,282836-2,Top,TECO-282836-2_V,10.3358,53.9585,270,"Female Header, Pitch 5 mm, 1 x 2 Position, Height 10 mm, Tail Length 3.5 mm, Rohs, Bulk"
